
Is there a shirt I can buy where it' s written "not even water" because I'm done answering the question.	47	120	
UMass Boston' s baseball team has been practically unstoppable on the way to a 37-10 record. http:// bos.gl/6FRhATj pic.twitter.com/cvFaH6mYbl	25	51	
Let us honor the two who died in Portland standing up to racial hatred by pledging to live our lives with as much courage and conviction.	15944	45105	
Here' s how to really achieve your goals, from a top psychologist http:// wef.ch/2rmCpfR #leadership pic.twitter.com/eBWcqifpKu	56	76	
Another highlight of the show was @JennColella ' s AMAZING singing that brought actual tears to my eyes. (She also has a really cool scooter)	2	4	
What a win! What a performance! Relive all SIX of @scarlets_rugby ' s tries against Munster as they're crowned @PRO12rugby champions! pic.twitter.com/3UZ7zAKp36	469	1155	
| Louis is named as a songwriter on the song 'Back To You' which has been registered on BMI. May 27, 2017   https://www. bmi.com -Mi pic.twitter.com/t98THbxzsh	1447	2091	
just a few seconds of taekook singing justin bieber' s nothing like us and purpose, i'm the interviewer at the end pic.twitter.com/t3MjZohUBe	8304	10360	
frustrating to see everyone to the left of sanders smeared as the alt-right when the beloved clintons agreed with charles murray https:// twitter.com/haircut_hippie /status/868248445609549825 	7	14	
Oooof course I'd be on the train being held up by NYPD as they conduct an investigation.. NOW I CANT LEAVE	0	0	
For a whole country that' s anti LGBTQ, y'all watch a lot of Lesbian porn...... something doesn't add up https:// twitter.com/vocativ/status /867759170778484736 	63383	112722	
Michael Vick says he plans to sign a 1-day contract and retire as a Falcon, per @MichaelDavSmith http:// ble.ac/2s1DY37 pic.twitter.com/5LPDQAKuhu	10592	17654	
#BTS return to Korea and to hold a press conference after their success at the 'Billboard Music Awards' http://www. allkpop.com/article/2017/0 5/bts-return-to-korea-and-to-hold-a-press-conference-after-their-success-at-the-billboard-music-awards  pic.twitter.com/EGgbwH2ysd	10589	21548	
Pass my new video on to a friend, let' s keep spreading the world about our new collab channel @OurWorldAway ^__^ RT https://www. youtube.com/watch?v=N1lS-3 _rxDg&t=402s 	67	358	
@s _k_202_ a   (*^^*)	0	0	
