game_id,label
01,0.3333333333
02,0.3333333333
03,1.0
04,1.0
05,0.6666666667
06,0.3333333333
07,1.0
08,0.6666666667
09,0.6666666667
10,1.0
11,0.5
12,0.25
13,0.6666666667
14,0.3333333333
15,0.6666666667
16,0.6666666667
17,0.3333333333
18,0.5
19,0.6666666667
20,1.0
21,0.3333333333
22,0.0
23,0.3333333333
24,0.3333333333
25,0.5
26,0.3333333333
27,0.3333333333
28,0.3333333333
29,0.5
30,0.3333333333
31,0.75
32,1.0
33,0.75
34,0.3333333333
35,0.5
36,0.3333333333
37,0.3333333333
38,1.0
39,0.3333333333
40,0.6666666667
41,0.6666666667
42,0.0
43,0.75
44,0.6666666667
45,0.6666666667
46,0.6666666667
47,0.75
48,1.0
49,0.3333333333
50,1.0
51,0.6666666667
52,0.6666666667
