
VIDEO: Carlos Correa suffers a torn thumb ligament. How much time will he miss? Dr. Parekh examines #Astros #MLB https://www. thefantasydoctors.com/?p=8100	6	5	
I have given up on my Mariners .	0	0	
Play one game at a time. Yesterday doesn't matter today.	0	0	
Baja sensible para los @astros https:// twitter.com/MLBPuertoRico/ status/887405319529385985 	0	0	
Astros dont get the publicity they deserve from espn or mlb network	0	0	
Heard Carlos Correa is out of the Astros lineup...OMG!!!	0	0	
Mapa Astral criado com sucesso Signo de touro com ascendente em mula, regido pela confluncia dos astros na constelao de Otarius.	0	1	
Would love to see more Astros players getting hurt	0	0	
me: the astros WILL be winning the world series this year FOR SURE me, looking at the dodgers pitching rotation: we're screwed	0	2	
Astros Place Correa On DL with Torn Ligament In Left Thumb http:// bubly.us/Z8Qj	0	0	
The Astros Held Funeral For Carlos Beltrans Glove http://www. krustysoxsports.com/2017/07/the-as tros-held-funeral-for-carlos.html#.WW6gnoQeppI.twitter  pic.twitter.com/qtuA6hqFk1	1	0	
olha Lo Eduardo so astros da msica sertaneja faz muito sucesso nos turns eu sou f deles tem milhes de fs no Brasil e	0	0	
#ROOTQ1 10 players & we will score 2 runs #MARINERS #GOMARINERS #WIN	0	1	
#GoMariners #WhateverItTakes @JenTalksSports @AngieMentink @RealBradAdam	0	0	
That's a wrap on the AL East. #RedSox v #Astros ALCS on the way. https:// twitter.com/mlbbrucelevine /status/887456449949052928 	1	2	
The media loves a good story. The Astros has more than their share.	0	1	
Houston Astros Money Line, 3 Units! #TMT #6IX #TMT6IX	0	1	
Interesting article that puts the #Mariners very near the playoffs but firmly recommends they sell. https:// fivethirtyeight.com/features/a-buy ers-and-sellers-guide-to-the-mlb-trade-deadline/?ex_cid=538twitter 	0	2	
Let's go Astros ! *pray for Correa pic.twitter.com/lRwUIFPjQn	0	2	
Enjoy an @astros game with your kids @ATTSportsNetSW MulletClubTshirts http:// Etsy.com/Chaz Taylor Woooooo #StrosTuesday @MikeStanton29 pic.twitter.com/TsfYi1vGCc	0	0	
And the fans like these Astros too. Because they're winning. 3 years ago you'd go to a sports bar and they weren't even on. https:// twitter.com/richardjustice /status/887460690461691904 	0	1	
And while Boston's return from 3-0 down was incredible, the White Sox dominated Boston, the LA Angels, and a good Astros squad.	0	1	
#Astros George Springer #FantasyJack @GamingTodayNews	0	1	
Lets get 6th straight wins @ROOTSPORTS_NW @Mariners #WhereIRoot pic.twitter.com/0taBApnnSi	0	2	
pic.twitter.com/uVoMu9g5u3	0	0	
Astros can absorb Correas injury, but who will play shortstop? https://www. crawfishboxes.com/2017/7/18/1599 3112/astros-can-absorb-correas-injury-but-who-will-play-shortstop  pic.twitter.com/aC6oR9RdB5	0	2	
VIDEO: Carlos Correa suffers a torn thumb ligament. How much time will he miss? Dr. Parekh examines #Astros #MLB https://www. thefantasydoctors.com/?p=8100	6	5	
7/18 Parlay Time Braves ML Yankees ML 1H Mariners ML 1H Indians O4	0	0	
Kyle Tucker placed on @cchooks DL with back discomfort. #Astros No. 2: http:// atmlb.com/2lDrbTl pic.twitter.com/rolNvxjwKY	7	9	
Thank goodness for @marwinGF9 . @astros	0	1	
@idahobenjamin	0	0	
Carlos Correa disappointed with injury but is only going to focus on "what I can control" (ESPN) http:// ift.tt/11YUSLM #Houston #Astros	1	0	
@Mariners In honor of your 5 game win streak, I re-created your logos in Forza Horizon 3 and made a custom livery! Keep it going! pic.twitter.com/QVgSed9PhG	0	1	
Don't think it's Texas. Looks like the kid in the pic is wearing a Seattle Mariners shirt. We are safe, for now.	0	1	
The Media didn't like the 2015 Royals. The Media treat the 2017 Astros like, well, royalty, compared to how they treated the Royals.	0	0	
Let's hope we see the train tonight! #astros https://www. instagram.com/p/BWtQYNPg4FNp ajyFtTIB1Nm9O127jLrP2hC0mQ0/ 	0	0	
My friends, family & I always celebrate the @Astros ! #GoAstros #EarnIt pic.twitter.com/LnPjDS91S4	0	0	
Astros put Correa on 10-day DL with thumb injury http:// bubly.us/Z8S4	0	0	
Astros Place Correa On DL with Torn Ligament In Left Thumb http:// bubly.us/Z8S3	0	0	
