
after 5. Braves lead 6-3. Martin with a solo shot to cut it to 3.	4	5	
Ricky Zander leading off for the Braves in the 3rd. pic.twitter.com/vSR58RcRN5	0	0	
The Lady Braves 4x100m Relay of Chaiela Edinburgh, Naiya Carmichael, Bethany Rogers, and Emily Kerr win in a blistering 49.47	0	5	
Misfire by me. I like his control at a young age & good k rate. Does anybody think he has the ability to turn into a Maddux type? Reaching?	0	0	
@HoustonRockets and @astros game about to start! #Htownfan – bei The Gorgeous Gael	1	2	
On that note, let's go Astros ! pic.twitter.com/Vq1JyXki1p	1	2	
No sé cuándo p........ estos astros del "play" s van a dar cuenta de esto. Podemos incluso ganar este partido, pero no tenemos nada	1	0	
SPORTS: WHAT IS WRONG WITH THE MLB BRAVES ,GIANTS,AND RANGERS! ALL IN DEEP LAST PLACE IN THERE DIVISIONS! SAD! MOSTLY RANGERS HIGH SALARIES!	0	0	
	0	1	
So true	0	0	
So trie	0	0	
Thru 5 innings and the Braves leads Southridge 6-3	2	13	
snit will last longer. good news is the kids are coming up soon	0	0	
Braves @Quinn_Murphy8 #2020 (Centennial) threw 5 IP with 4 Ks, 4 hits, in the 13-3 win over Danville. Also went 2-4 with 2 Runs and 2 SB	1	3	
Congratulations Mrs. Strawn! She was recognized at the school board meeting tonight. #teacheroftheyear pic.twitter.com/jgbh2xgIup	5	33	
Game Thread: Braves at Astros 8:10 PM ET http:// ift.tt/2ptgLUY - Go to the link to find online streams of the event, enjoy.	0	0	
I don't hate the Braves nearly as much as I used too. *Chipper Jones is still a douche	0	11	
unfortunately it appears that the Braves do not want to eat Bonifacio's salary which would make that happen. It gives me the sad	0	0	
#Astros getting ready to face the guy who swallowed Bartolo Colon on @ROOTSPORTSSW #yourewelcome	0	0	
Braves . pic.twitter.com/XCqMKHYhsE	0	3	
@VIRTUALREGATTA lol.....les Traders skippers avaient pourtant demandé des bouées à passer en journée, dormez braves gens,ns on navigue pic.twitter.com/lzazcoJmBL	0	1	
I like the Astros and all, but Bartolo Colón is a national treasure.	0	0	
Braves get out of a bases loaded Jam with no outs to keep it 0-0 in the 3rd. pic.twitter.com/JN86Ji6orB	0	2	
Keep grinding away Braves #Pride https:// twitter.com/johnmselitto/s tatus/861991857911463936 …	0	0	
@chasedarnaud This Braves fan REALLY REALLY misses you. Wish you success & happiness in BOS. In A.L. w/ Mallex! Sing it, kid!	0	0	
pic.twitter.com/6zsZkgeIA0	0	0	
8:10PM MLB PLAYS #ASTROS ML #TWINS ML #ldspicks	0	1	
Enjoying a Georgia Tech baseball game at the Braves Stadium! #georgiatech #bravesstadium pic.twitter.com/VgohAWJFQf	0	1	
Almost as good as being a Dallas Fan!	0	1	
Magi 0 Braves 0 [Bottom 3rd] [0 Out] [0 balls] [0 strikes] ... No one on [P: #7 Lofton Klabunde] [B: #4 Richard Zander]	0	0	
Tejada. If 2009 doesn't count as the Astros Dark Ages nothing does https:// twitter.com/astros351/stat us/862033452736151553 …	0	2	
literally no ones going to the astros game tomorrow	0	0	
Let's go @Braves . #ChopOn	0	1	
Btw Nabil said you name dropped me the other day lmao	0	1	
Sure would be nice if the Braves had a real third baseman	0	0	
More like peak Matt Cain... if we're lucky.	0	1	
Free Picks $700 Rockets +7 (pt buy)-140 $1,500 Astros - Braves Ov8.5 -105 Premium *GON* $1,500 Rockets @Spurs @http:// ibnsportswrap.com/freePicks.php	1	3	
@astros my New Jersey came in #goastros pic.twitter.com/rnN6v61LWM	0	4	
Get to know the @Braves ' newest addition & tonight's starting left fielder: Danny Santana. #ChopOn pic.twitter.com/Cr7VZzfX2N	6	11	
Someone go to an astros game with me pleaseeeee	2	1	
@KelsWingert Astros vs braves had lots of good and bad memories over the years while they both where in the same division	0	0	
